"turmas";"especie";"tipo";"value"
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";0
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";0
9;"aves";"exotica";0
9;"aves";"exotica";1
9;"aves";"exotica";0
9;"aves";"exotica";0
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
9;"aves";"exotica";1
10;"aves";"exotica";0
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";0
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";0
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
10;"aves";"exotica";1
11;"aves";"exotica";0
11;"aves";"exotica";0
11;"aves";"exotica";0
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";0
11;"aves";"exotica";0
11;"aves";"exotica";0
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";0
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
11;"aves";"exotica";1
